Activity,X,Y,Z,Time
abd_aduction,-0.11,1.42,9.12,2021-07-06 19:19:06
abd_aduction,-0.02,1.67,9.99,2021-07-06 19:19:06
abd_aduction,0.22,2.29,9.45,2021-07-06 19:19:06
abd_aduction,0.2,2.25,9.24,2021-07-06 19:19:07
abd_aduction,-0.35,2.5,9.92,2021-07-06 19:19:07
abd_aduction,-0.77,1.2,9.63,2021-07-06 19:19:07
abd_aduction,-0.95,0.14,9.19,2021-07-06 19:19:07
abd_aduction,-1.01,-0.18,10.2,2021-07-06 19:19:07
abd_aduction,-0.66,-0.46,10.42,2021-07-06 19:19:08
abd_aduction,-0.02,-1.13,9.7,2021-07-06 19:19:08
abd_aduction,0.23,-1.61,9.49,2021-07-06 19:19:08
abd_aduction,-0.11,-2.15,10.04,2021-07-06 19:19:08
abd_aduction,-0.48,-1.5,9.98,2021-07-06 19:19:08
abd_aduction,-1.0,-0.83,9.71,2021-07-06 19:19:09
abd_aduction,-0.77,0.36,9.77,2021-07-06 19:19:09
abd_aduction,0.23,2.13,10.04,2021-07-06 19:19:09
abd_aduction,0.42,2.01,9.78,2021-07-06 19:19:09
abd_aduction,0.95,3.41,9.54,2021-07-06 19:19:09
abd_aduction,0.21,2.8,10.13,2021-07-06 19:19:10
abd_aduction,-0.61,0.99,9.84,2021-07-06 19:19:10
abd_aduction,-0.49,0.13,9.1,2021-07-06 19:19:10
abd_aduction,-0.44,-0.64,9.77,2021-07-06 19:19:10
abd_aduction,-0.37,-0.76,10.17,2021-07-06 19:19:10
abd_aduction,-0.23,-1.13,10.12,2021-07-06 19:19:11
abd_aduction,-0.83,-3.41,9.54,2021-07-06 19:19:11
abd_aduction,-1.13,-1.5,10.53,2021-07-06 19:19:11
abd_aduction,-1.04,-0.58,9.85,2021-07-06 19:19:11
abd_aduction,-0.3,0.83,9.55,2021-07-06 19:19:11
abd_aduction,-0.5,0.53,9.67,2021-07-06 19:19:12
abd_aduction,-0.19,1.43,9.76,2021-07-06 19:19:12
abd_aduction,-0.04,1.96,10.08,2021-07-06 19:19:12
abd_aduction,0.04,2.1,10.56,2021-07-06 19:19:12
abd_aduction,0.05,2.3,8.97,2021-07-06 19:19:13
abd_aduction,-0.66,1.16,9.96,2021-07-06 19:19:13
abd_aduction,-0.73,0.71,9.9,2021-07-06 19:19:13
abd_aduction,-0.71,-1.14,9.81,2021-07-06 19:19:13
abd_aduction,0.14,-1.28,9.56,2021-07-06 19:19:13
abd_aduction,0.91,-0.71,9.51,2021-07-06 19:19:14
abd_aduction,0.29,-1.77,10.08,2021-07-06 19:19:14
abd_aduction,0.09,-1.84,10.02,2021-07-06 19:19:14
abd_aduction,-0.29,-1.88,9.98,2021-07-06 19:19:14
abd_aduction,-0.2,-0.12,9.35,2021-07-06 19:19:14
abd_aduction,-0.17,0.25,9.37,2021-07-06 19:19:15
abd_aduction,0.2,1.69,9.91,2021-07-06 19:19:15
abd_aduction,0.49,2.01,10.74,2021-07-06 19:19:15
abd_aduction,1.02,2.98,9.67,2021-07-06 19:19:15
abd_aduction,0.48,1.68,9.82,2021-07-06 19:19:15
abd_aduction,0.79,2.65,9.86,2021-07-06 19:19:16
abd_aduction,0.09,1.11,9.56,2021-07-06 19:19:16
abd_aduction,0.57,0.71,9.34,2021-07-06 19:19:16
abd_aduction,0.42,-0.26,9.93,2021-07-06 19:19:16
abd_aduction,1.01,-0.22,9.91,2021-07-06 19:19:16
abd_aduction,1.3,0.28,9.59,2021-07-06 19:19:17
abd_aduction,1.01,-0.31,9.81,2021-07-06 19:19:17
abd_aduction,0.9,-1.02,9.38,2021-07-06 19:19:17
abd_aduction,0.34,-2.51,10.36,2021-07-06 19:19:17
abd_aduction,-0.04,-3.28,9.77,2021-07-06 19:19:17
abd_aduction,0.36,-0.53,9.6,2021-07-06 19:19:18
abd_aduction,0.26,-0.37,9.83,2021-07-06 19:19:18
abd_aduction,0.07,-0.12,9.64,2021-07-06 19:19:18
abd_aduction,0.84,0.99,9.88,2021-07-06 19:19:18
abd_aduction,0.3,0.53,9.81,2021-07-06 19:19:18
abd_aduction,0.57,0.7,9.4,2021-07-06 19:19:19
abd_aduction,-0.14,0.73,10.16,2021-07-06 19:19:19
abd_aduction,1.15,4.89,10.36,2021-07-06 19:19:19
abd_aduction,-0.17,2.74,9.72,2021-07-06 19:19:19
abd_aduction,-0.49,0.65,9.78,2021-07-06 19:19:19
abd_aduction,0.07,-0.19,9.44,2021-07-06 19:19:20
abd_aduction,0.19,-0.32,9.99,2021-07-06 19:19:20
abd_aduction,0.48,-0.62,9.95,2021-07-06 19:19:20
abd_aduction,0.53,-0.41,10.0,2021-07-06 19:19:20
abd_aduction,0.46,-0.19,9.66,2021-07-06 19:19:20
abd_aduction,0.13,-1.86,9.81,2021-07-06 19:19:21
abd_aduction,-0.48,-2.41,10.05,2021-07-06 19:19:21
abd_aduction,-0.39,-0.93,9.82,2021-07-06 19:19:21
abd_aduction,-0.25,-0.02,9.23,2021-07-06 19:19:21
abd_aduction,-0.06,0.78,9.37,2021-07-06 19:19:22
abd_aduction,-0.08,1.14,10.15,2021-07-06 19:19:22
abd_aduction,-0.02,1.12,9.8,2021-07-06 19:19:22
abd_aduction,0.32,1.31,9.82,2021-07-06 19:19:22
abd_aduction,0.63,2.04,9.34,2021-07-06 19:19:22
abd_aduction,0.73,2.4,9.98,2021-07-06 19:19:23
abd_aduction,0.13,1.61,9.47,2021-07-06 19:19:23
abd_aduction,-0.46,0.42,10.2,2021-07-06 19:19:23
abd_aduction,-0.34,0.56,9.71,2021-07-06 19:19:23
abd_aduction,-0.11,-0.18,9.37,2021-07-06 19:19:23
abd_aduction,0.38,-0.21,9.88,2021-07-06 19:19:24
abd_aduction,-0.34,-1.04,9.72,2021-07-06 19:19:24
abd_aduction,0.09,-0.79,10.04,2021-07-06 19:19:24
abd_aduction,0.09,-1.06,9.75,2021-07-06 19:19:24
abd_aduction,-0.7,-3.12,9.86,2021-07-06 19:19:24
abd_aduction,-0.5,-1.97,9.9,2021-07-06 19:19:25
abd_aduction,-0.19,-0.61,9.38,2021-07-06 19:19:25
abd_aduction,-0.3,-0.17,9.98,2021-07-06 19:19:25
abd_aduction,-0.15,0.46,9.83,2021-07-06 19:19:25
abd_aduction,0.0,0.74,9.29,2021-07-06 19:19:25
abd_aduction,-0.18,1.03,9.82,2021-07-06 19:19:26
abd_aduction,0.26,2.34,10.27,2021-07-06 19:19:26
abd_aduction,0.42,2.53,9.79,2021-07-06 19:19:26
