Activity,X,Y,Z,Time
bench_press,-3.4,-1.32,8.92,2021-06-30 19:43:41
bench_press,-3.53,-0.55,9.12,2021-06-30 19:43:41
bench_press,-1.65,0.67,9.44,2021-06-30 19:43:41
bench_press,-0.87,-0.19,9.59,2021-06-30 19:43:42
bench_press,-0.06,0.14,10.49,2021-06-30 19:43:42
bench_press,0.36,-0.33,10.25,2021-06-30 19:43:42
bench_press,1.38,-0.2,10.57,2021-06-30 19:43:42
bench_press,0.29,0.68,10.51,2021-06-30 19:43:42
bench_press,-1.51,-1.43,8.85,2021-06-30 19:43:43
bench_press,-2.04,-0.71,9.32,2021-06-30 19:43:43
bench_press,-3.6,-0.26,9.93,2021-06-30 19:43:43
bench_press,-0.97,0.93,9.52,2021-06-30 19:43:43
bench_press,-2.77,-0.1,9.03,2021-06-30 19:43:44
bench_press,-1.21,0.61,9.88,2021-06-30 19:43:44
bench_press,-0.41,0.31,9.02,2021-06-30 19:43:44
bench_press,0.46,-0.16,9.21,2021-06-30 19:43:44
bench_press,0.12,-0.6,11.37,2021-06-30 19:43:44
bench_press,2.09,-1.17,10.4,2021-06-30 19:43:45
bench_press,0.83,0.75,10.6,2021-06-30 19:43:45
bench_press,-2.26,0.35,9.31,2021-06-30 19:43:45
bench_press,-2.2,-0.84,9.41,2021-06-30 19:43:45
bench_press,-3.18,0.04,9.09,2021-06-30 19:43:45
bench_press,-4.5,-1.55,9.32,2021-06-30 19:43:46
bench_press,-3.26,-0.4,8.69,2021-06-30 19:43:46
bench_press,-1.89,-0.02,9.45,2021-06-30 19:43:46
bench_press,0.11,-0.14,9.14,2021-06-30 19:43:46
bench_press,0.33,-0.29,10.22,2021-06-30 19:43:46
bench_press,2.36,-0.64,11.5,2021-06-30 19:43:47
bench_press,-0.04,0.08,9.93,2021-06-30 19:43:47
bench_press,-2.04,0.08,9.18,2021-06-30 19:43:47
bench_press,-2.72,-0.74,9.79,2021-06-30 19:43:47
bench_press,-4.26,0.14,8.59,2021-06-30 19:43:47
bench_press,-3.91,-0.29,8.35,2021-06-30 19:43:48
bench_press,-1.38,0.49,9.84,2021-06-30 19:43:48
bench_press,0.03,-0.19,9.95,2021-06-30 19:43:48
bench_press,2.26,-0.03,9.97,2021-06-30 19:43:48
bench_press,2.96,-0.02,11.05,2021-06-30 19:43:48
bench_press,0.3,0.19,10.09,2021-06-30 19:43:49
bench_press,-0.95,-0.73,9.25,2021-06-30 19:43:49
bench_press,-3.13,-0.67,8.76,2021-06-30 19:43:49
bench_press,-3.1,0.34,8.62,2021-06-30 19:43:49
bench_press,-3.76,-0.52,8.91,2021-06-30 19:43:49
bench_press,-1.25,0.91,10.64,2021-06-30 19:43:50
bench_press,0.5,0.04,10.59,2021-06-30 19:43:50
bench_press,0.86,-0.29,9.74,2021-06-30 19:43:50
bench_press,1.71,0.82,11.63,2021-06-30 19:43:50
bench_press,0.54,-0.34,9.36,2021-06-30 19:43:50
bench_press,-1.35,-0.01,9.55,2021-06-30 19:43:51
bench_press,-1.52,0.14,9.58,2021-06-30 19:43:51
bench_press,-3.09,1.04,9.7,2021-06-30 19:43:51
bench_press,-2.39,0.66,9.25,2021-06-30 19:43:51
bench_press,-1.27,-0.08,9.5,2021-06-30 19:43:52
bench_press,-0.99,1.02,10.03,2021-06-30 19:43:52
bench_press,1.41,-0.54,9.25,2021-06-30 19:43:52
bench_press,1.82,-1.06,10.26,2021-06-30 19:43:52
bench_press,1.6,0.07,10.98,2021-06-30 19:43:52
bench_press,-1.77,-0.53,9.1,2021-06-30 19:43:52
bench_press,-1.98,-0.96,9.79,2021-06-30 19:43:53
bench_press,-1.64,0.15,10.25,2021-06-30 19:43:53
bench_press,-3.58,-0.85,8.65,2021-06-30 19:43:53
bench_press,-2.24,-0.46,9.18,2021-06-30 19:43:53
bench_press,0.38,0.62,10.42,2021-06-30 19:43:53
bench_press,2.31,0.57,9.15,2021-06-30 19:43:54
bench_press,3.66,-0.22,10.84,2021-06-30 19:43:54
bench_press,1.0,0.03,9.98,2021-06-30 19:43:54
bench_press,-1.7,-0.73,9.35,2021-06-30 19:43:54
bench_press,-1.7,-0.12,9.94,2021-06-30 19:43:55
bench_press,-2.57,1.27,8.66,2021-06-30 19:43:55
bench_press,-3.51,0.05,9.03,2021-06-30 19:43:55
bench_press,-2.11,1.25,10.13,2021-06-30 19:43:55
bench_press,-0.04,0.42,9.85,2021-06-30 19:43:55
bench_press,1.29,-0.23,9.55,2021-06-30 19:43:56
bench_press,2.09,-0.52,11.3,2021-06-30 19:43:56
bench_press,2.25,-0.07,10.75,2021-06-30 19:43:56
bench_press,-1.78,0.42,9.07,2021-06-30 19:43:56
bench_press,-2.79,0.12,9.0,2021-06-30 19:43:56
bench_press,-3.83,-0.73,8.93,2021-06-30 19:43:57
bench_press,-3.72,-0.58,9.15,2021-06-30 19:43:57
bench_press,-2.2,0.11,9.77,2021-06-30 19:43:57
bench_press,0.15,0.02,10.09,2021-06-30 19:43:57
bench_press,1.32,-0.79,9.6,2021-06-30 19:43:57
bench_press,2.61,-0.74,11.11,2021-06-30 19:43:58
bench_press,2.25,0.52,10.72,2021-06-30 19:43:58
bench_press,-1.06,0.82,9.76,2021-06-30 19:43:58
bench_press,-1.94,0.08,9.29,2021-06-30 19:43:58
bench_press,-2.74,0.57,9.29,2021-06-30 19:43:58
bench_press,-3.16,1.27,9.21,2021-06-30 19:43:59
bench_press,-2.34,1.28,9.09,2021-06-30 19:43:59
bench_press,-0.14,-0.2,9.37,2021-06-30 19:43:59
bench_press,2.45,0.09,10.23,2021-06-30 19:43:59
bench_press,3.52,-0.08,11.36,2021-06-30 19:43:59
bench_press,0.86,-0.09,9.63,2021-06-30 19:44:00
bench_press,-1.47,0.28,9.36,2021-06-30 19:44:00
bench_press,-1.18,-0.58,8.91,2021-06-30 19:44:00
